fips_code,county,total_2008,dem_2008_count,dem_2008_percent,gop_2008_count,gop_2008_percent,oth_2008,oth_2008_percent,total_2012,dem_2012,dem_2012_percent,gop_2012,gop_2012_percent,oth_2012,oth_2012_percent,total_2016,dem_2016,dem_2016_percent,gop_2016,gop_2016_percent,oth_2016,oth_2016_percent
26041,Delta County,19064,9974,0.5231850608,8763,0.4596621905,327,0.0171527486,18043,8330,0.4616748878,9533,0.5283489442,180,0.009976168,18467,6431,0.3482428115,11112,0.6017219906,924,0.0500351979
48295,Lipscomb County,1256,155,0.1234076433,1093,0.8702229299,8,0.0063694268,1168,119,0.1018835616,1044,0.8938356164,5,0.0042808219,1322,135,0.102118003,1159,0.8767019667,28,0.0211800303
1127,Walker County,28652,7420,0.2589697054,20722,0.72323049,510,0.0177998046,28497,6551,0.2298838474,21633,0.7591325403,313,0.0109836123,29243,4486,0.1534042335,24208,0.8278220429,549,0.0187737236
48389,Reeves County,3077,1606,0.5219369516,1445,0.4696132597,26,0.0084497888,2867,1649,0.5751656784,1185,0.4133240321,33,0.0115102895,3184,1659,0.5210427136,1417,0.4450376884,108,0.033919598
56017,Hot Springs County,2546,619,0.2431264729,1834,0.7203456402,93,0.0365278869,2495,523,0.2096192385,1894,0.7591182365,78,0.0312625251,2535,400,0.157790927,1939,0.7648915187,196,0.0773175542
20043,Doniphan County,3564,1115,0.3128507295,2372,0.6655443322,77,0.0216049383,3369,885,0.2626892253,2397,0.7114870882,87,0.0258236866,3366,584,0.1734997029,2601,0.7727272727,181,0.0537730244
37183,Wake County,442245,250891,0.5673122364,187001,0.4228448032,4353,0.0098429604,526805,286939,0.544677822,232933,0.4421617107,6933,0.0131604673,510940,298353,0.5839296199,193607,0.3789231612,18980,0.0371472189
37147,Pitt County,74884,40501,0.5408498478,33927,0.4530607339,456,0.0060894183,76814,40701,0.5298643476,35534,0.4625979639,579,0.0075376884,78264,40967,0.5234462844,35191,0.449644792,2106,0.0269089236
48497,Wise County,20639,4471,0.2166287126,15973,0.7739231552,195,0.0094481322,20692,3219,0.155567369,17178,0.8301759134,295,0.0142567176,24661,3412,0.1383561088,20655,0.8375572767,594,0.0240866145
21207,Russell County,7475,1569,0.2098996656,5779,0.7731103679,127,0.0169899666,7907,1445,0.1827494625,6346,0.8025799924,116,0.0146705451,8171,1093,0.1337657569,6863,0.8399216742,215,0.0263125688
5053,Grant County,6793,1562,0.229942588,5023,0.7394376564,208,0.0306197556,6478,1467,0.2264587836,4829,0.7454461253,182,0.0280950911,6855,1407,0.2052516411,5160,0.7527352298,288,0.0420131291
31147,Richardson County,3968,1513,0.3813004032,2342,0.5902217742,113,0.0284778226,3680,1180,0.3206521739,2407,0.654076087,93,0.0252717391,3666,798,0.2176759411,2684,0.7321331151,184,0.0501909438
47123,Monroe County,16777,5053,0.3011861477,11484,0.6845085534,240,0.0143052989,16320,4368,0.2676470588,11717,0.7179534314,235,0.0143995098,17050,3184,0.186744868,13361,0.7836363636,505,0.0296187683
